snapshot,BW,BY,BB,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
2024-01-01 00:00:00+00:00,0.22440659524620654,0.10493251026960516,0.4118389338024758,0.12997124837447918,0.012248601390067596,0.03794463544884944,0.3054485912053952,0.045298526898934786,0.07647743889180314,0.6376566899084218,0.05374064247473042,0.035284029542395144,0.020719672001145672
2024-01-01 01:00:00+00:00,0.21309769724412683,0.10198803376480374,0.4087997077343887,0.13027661198513532,0.010523991122877484,0.03915121397445484,0.3115357402149692,0.044761332970397534,0.07749879523455931,0.6126261326771422,0.05343468682173333,0.035171955958126506,0.021821446294767177
2024-01-01 02:00:00+00:00,0.21618251670770827,0.10020612504099013,0.40396364825963205,0.1290814337278164,0.011274784691201864,0.0415189701447223,0.3163671392946938,0.047529440271488296,0.07665360800759972,0.6106173263697988,0.057604609889205446,0.034415511277957916,0.022935878451907067
2024-01-01 03:00:00+00:00,0.21711298950995372,0.09770144884205054,0.4119580800621615,0.1274056680751192,0.0109113676969091,0.041023041332927945,0.31617640899393795,0.047058866000260276,0.07486967231933982,0.6161215943629113,0.06149402463881378,0.03369023783545313,0.022974116824895117
2024-01-01 04:00:00+00:00,0.21706946370503544,0.09698889946772378,0.42458305910802063,0.12249238536517498,0.01017562153697077,0.04056951895037805,0.3196465164751722,0.04751769840525943,0.07431673064895862,0.6140164752985808,0.06100370873796424,0.03316072841537558,0.022183822610714027
2024-01-01 05:00:00+00:00,0.22054310603282512,0.09650228152614336,0.43161781995444104,0.1197223440219343,0.010144178122971026,0.042776454666439374,0.3196517594472867,0.04718902324413171,0.07893157616690072,0.6221790768341451,0.059253864759557344,0.029772883750807343,0.021184846078140217
2024-01-01 06:00:00+00:00,0.21914426295731085,0.09495509905881923,0.4273164965933594,0.11607209614226546,0.009863753155522337,0.04249617491119033,0.308259486299334,0.04747354827164875,0.08667666441131441,0.6290756204058903,0.055786230022781554,0.03196530872576785,0.018311991578989287
2024-01-01 07:00:00+00:00,0.21238114547877712,0.08723044724243414,0.4245770643175336,0.11680856833971218,0.01110887107486119,0.04064696187557442,0.30429781742451206,0.04971275348667188,0.09339802561107452,0.6258433349168177,0.04908956886545115,0.03173423130288459,0.01749421745710853
2024-01-01 08:00:00+00:00,0.17938245502824823,0.0630522353442303,0.4059522854227693,0.11152395133835252,0.010133089476786247,0.04030698348312653,0.3052761874934154,0.04793871319618498,0.08981476384799535,0.5634689220195341,0.04419313301321016,0.030743157129263933,0.01607987486248495
2024-01-01 09:00:00+00:00,0.1519010518851757,0.0505720402131803,0.3463507605597748,0.11473120993378133,0.01084146754342387,0.04034225579003805,0.3051634176409552,0.04735996014993255,0.08513039709400294,0.5436204488678262,0.04519126414748358,0.03437974330632085,0.0162055543136271
2024-01-01 10:00:00+00:00,0.1366197168755228,0.04360099717746394,0.3720484252494679,0.11047277867346841,0.010507930744513132,0.038584036296105934,0.29533571774267875,0.051070592693362046,0.07722925085683134,0.49326400910759766,0.044977939369321915,0.041145603401157235,0.01544817452062882
2024-01-01 11:00:00+00:00,0.14749008873167682,0.04560050731244598,0.38079346913347667,0.10727823703543464,0.012290449200902515,0.038802527646951544,0.2889119198039278,0.04592402313890841,0.07951997063021504,0.4822295581103149,0.05168738024115906,0.03951710833105049,0.014547111429786564
2024-01-01 12:00:00+00:00,0.15751897658479144,0.05362301656160883,0.37247053454254037,0.12016470904447157,0.013972010760838911,0.03973613113512553,0.28831894560214516,0.049337060989519635,0.07627682434545127,0.5338566112237054,0.045128262072730525,0.039793060814448666,0.014510055383076969
2024-01-01 13:00:00+00:00,0.18601728929526865,0.06309354973619,0.41344315846785634,0.12754050651897297,0.013576484461040856,0.04196853996162936,0.2958340350094032,0.0764897785681182,0.08575659275058015,0.5705889576932217,0.052542200892997874,0.036987267041444054,0.015728958916478682
2024-01-01 14:00:00+00:00,0.22995881367087168,0.10148806360987916,0.4391234194387893,0.13676155671181106,0.013975868709138665,0.044374865125798905,0.30829422646702176,0.08308326735653825,0.0932001192527628,0.5940542177389402,0.05939251930818387,0.036156853644105674,0.057273556109521076
2024-01-01 15:00:00+00:00,0.25298351407067887,0.12944125958059152,0.4278572953504879,0.1597927586831021,0.014668606396544314,0.045130706182385724,0.32515990820186874,0.10112032320717385,0.12473764390050093,0.6319924555445235,0.060532531959946394,0.04073612676046114,0.0986396573636186
2024-01-01 16:00:00+00:00,0.2673338501781402,0.1323116737895021,0.4029860361577917,0.17422820271681488,0.013673230102589792,0.04410565001415417,0.33501632370803697,0.11122786895705071,0.1419731952278777,0.6193969807331459,0.056002588686479594,0.046846286363080115,0.14702439956451913
2024-01-01 17:00:00+00:00,0.27094320426163837,0.1475577610455868,0.380846487060171,0.18181647013540297,0.012338820060695031,0.04550501317394995,0.3510958642722461,0.12735045067797382,0.13422727420517597,0.5701805032711441,0.062265043491811556,0.049119352704491956,0.1577417273073236
