timestamp,marginaler_traeger,marginal_ohne_speicher,mef_g_kwh,aef_stunde_g_kwh,deckungsgrad
2024-06-13T04:00:00.000Z,Pumpspeicher,Erdgas,751,512.7,0.61
2024-06-13T05:00:00.000Z,Pumpspeicher,Erdgas,751,474.2,0.73
2024-06-13T06:00:00.000Z,Pumpspeicher,Erdgas,751,411.4,0.46
2024-06-13T07:00:00.000Z,Erdgas,Erdgas,492,318.9,0.37
2024-06-13T08:00:00.000Z,Braunkohle,Braunkohle,1097,248.0,0.54
2024-06-13T09:00:00.000Z,Braunkohle,Braunkohle,1097,226.7,0.50
2024-06-13T10:00:00.000Z,Erdgas,Erdgas,492,219.0,0.64
2024-06-13T11:00:00.000Z,Erdgas,Erdgas,492,216.1,0.64
2024-06-13T12:00:00.000Z,Erdgas,Erdgas,492,219.3,0.50
2024-06-13T13:00:00.000Z,Braunkohle,Braunkohle,1097,231.9,0.55
2024-06-13T14:00:00.000Z,Braunkohle,Braunkohle,1097,263.3,0.65
2024-06-13T15:00:00.000Z,Braunkohle,Braunkohle,1097,347.7,0.54
2024-06-13T16:00:00.000Z,Erdgas,Erdgas,492,445.4,0.40
2024-06-13T17:00:00.000Z,Erdgas,Erdgas,492,519.9,0.48
2024-06-13T18:00:00.000Z,Pumpspeicher,Erdgas,751,567.6,0.64
2024-06-13T19:00:00.000Z,Erdgas,Erdgas,492,578.8,0.83
2024-06-13T20:00:00.000Z,Pumpspeicher,Erdgas,751,565.9,0.48
2024-06-13T21:00:00.000Z,Pumpspeicher,Erdgas,751,532.3,0.42
2024-06-13T22:00:00.000Z,Erdgas,Erdgas,492,482.5,0.46
2024-06-13T23:00:00.000Z,Braunkohle,Braunkohle,1097,416.0,0.44
2024-06-14T00:00:00.000Z,Erdgas,Erdgas,492,385.9,0.37
2024-06-14T01:00:00.000Z,Braunkohle,Braunkohle,1097,367.4,0.82
2024-06-14T02:00:00.000Z,Braunkohle,Braunkohle,1097,368.7,0.95
2024-06-14T03:00:00.000Z,Braunkohle,Braunkohle,1097,376.7,0.46
2024-06-14T04:00:00.000Z,Pumpspeicher,Braunkohle,751,376.0,0.39
2024-06-14T05:00:00.000Z,Pumpspeicher,Erdgas,751,374.7,0.67
2024-06-14T06:00:00.000Z,Pumpspeicher,Braunkohle,751,365.4,0.79
2024-06-14T07:00:00.000Z,Pumpspeicher,Braunkohle,751,339.3,0.61
2024-06-14T08:00:00.000Z,Pumpspeicher,Braunkohle,751,297.2,0.41
2024-06-14T09:00:00.000Z,Braunkohle,Braunkohle,1097,239.8,0.52
2024-06-14T10:00:00.000Z,Braunkohle,Braunkohle,1097,204.0,0.76
2024-06-14T11:00:00.000Z,Pumpspeicher,Steinkohle,751,198.3,4.32
2024-06-14T12:00:00.000Z,Braunkohle,Braunkohle,1097,210.6,0.61
2024-06-14T13:00:00.000Z,Braunkohle,Braunkohle,1097,227.3,1.82
