timestamp,generation_MWh,intensity_scope2,intensity_lc,emissions_scope2_t,emissions_lc_t
2024-06-10T00:00:00.000Z,33264,372.5,421.5,12390,14022
2024-06-10T01:00:00.000Z,32570,382.1,432.4,12444,14084
2024-06-10T02:00:00.000Z,33777,407.3,460.6,13756,15559
2024-06-10T03:00:00.000Z,35112,421.9,477.6,14815,16768
2024-06-10T04:00:00.000Z,41316,412.8,472.6,17056,19527
2024-06-10T05:00:00.000Z,48125,383.3,445,18446,21415
2024-06-10T06:00:00.000Z,54103,339.7,400.6,18379,21673
2024-06-10T07:00:00.000Z,58287,283.6,342,16532,19936
2024-06-10T08:00:00.000Z,60523,241.6,297.4,14622,17998
2024-06-10T09:00:00.000Z,60696,208.4,261,12648,15841
2024-06-10T10:00:00.000Z,58852,184.8,235.9,10874,13883
2024-06-10T11:00:00.000Z,59011,191.1,240.8,11276,14211
2024-06-10T12:00:00.000Z,57343,191.7,240.6,10995,13796
2024-06-10T13:00:00.000Z,54603,203.1,251.7,11091,13743
2024-06-10T14:00:00.000Z,52036,227.8,276.2,11855,14375
2024-06-10T15:00:00.000Z,50692,268.6,316.9,13617,16062
2024-06-10T16:00:00.000Z,50706,299.4,348.4,15182,17664
2024-06-10T17:00:00.000Z,49645,321.6,371,15966,18418
2024-06-10T18:00:00.000Z,49156,340.1,389.7,16716,19158
2024-06-10T19:00:00.000Z,48294,336.8,385.6,16265,18620
2024-06-10T20:00:00.000Z,47061,331.9,379.9,15620,17876
2024-06-10T21:00:00.000Z,46057,311.1,356.8,14327,16432
2024-06-10T22:00:00.000Z,43986,270.2,312.6,11883,13749
2024-06-10T23:00:00.000Z,43720,262.9,303,11494,13248
2024-06-11T00:00:00.000Z,44631,258.4,297.8,11531,13289
2024-06-11T01:00:00.000Z,44446,256.8,295.9,11415,13154
2024-06-11T02:00:00.000Z,44381,253.9,292.9,11266,12997
2024-06-11T03:00:00.000Z,44637,257.5,297.3,11495,13270
2024-06-11T04:00:00.000Z,48826,248.2,290.6,12118,14187
2024-06-11T05:00:00.000Z,54813,245.9,289.3,13479,15855
2024-06-11T06:00:00.000Z,57621,215.5,258.2,12418,14878
2024-06-11T07:00:00.000Z,60489,193.4,235.9,11701,14270
2024-06-11T08:00:00.000Z,64698,180.7,224,11690,14492
2024-06-11T09:00:00.000Z,66878,152.6,195.3,10207,13062
2024-06-11T10:00:00.000Z,67379,135.6,177.6,9139,11968
2024-06-11T11:00:00.000Z,68193,133.7,175.8,9116,11987
2024-06-11T12:00:00.000Z,67755,135.1,177.9,9152,12051
2024-06-11T13:00:00.000Z,65842,138.9,181.8,9147,11967
2024-06-11T14:00:00.000Z,62260,157.1,200.1,9782,12456
2024-06-11T15:00:00.000Z,58717,189.7,232.2,11137,13632
2024-06-11T16:00:00.000Z,55443,245.1,289,13587,16025
2024-06-11T17:00:00.000Z,51152,303,351.1,15498,17960
2024-06-11T18:00:00.000Z,48016,340.5,391.8,16349,18811
2024-06-11T19:00:00.000Z,45722,355.9,407.5,16274,18630
2024-06-11T20:00:00.000Z,43061,367.7,418.3,15832,18013
2024-06-11T21:00:00.000Z,40464,374.1,421.8,15139,17069
2024-06-11T22:00:00.000Z,38438,366.2,411.1,14074,15803
2024-06-11T23:00:00.000Z,36562,365,409.4,13345,14967
2024-06-12T00:00:00.000Z,36214,362.5,406.5,13126,14722
2024-06-12T01:00:00.000Z,35365,369.6,414.4,13071,14655
2024-06-12T02:00:00.000Z,35903,373.4,418.4,13405,15021
2024-06-12T03:00:00.000Z,36734,380.3,427.3,13971,15696
2024-06-12T04:00:00.000Z,41863,379.9,429.9,15903,17998
2024-06-12T05:00:00.000Z,48559,344.4,396.5,16726,19252
2024-06-12T06:00:00.000Z,53624,272.2,322.9,14598,17316
2024-06-12T07:00:00.000Z,57800,199.4,248.5,11527,14361
2024-06-12T08:00:00.000Z,61028,176.1,224.9,10746,13725
2024-06-12T09:00:00.000Z,63176,165.4,213.4,10452,13479
2024-06-12T10:00:00.000Z,63845,159.2,206.7,10163,13196
2024-06-12T11:00:00.000Z,63468,159.9,207.6,10150,13173
2024-06-12T12:00:00.000Z,64214,159,205.9,10209,13223
2024-06-12T13:00:00.000Z,61586,168.7,215.5,10387,13270
2024-06-12T14:00:00.000Z,57722,184.5,231.2,10650,13343
2024-06-12T15:00:00.000Z,54091,247.3,294.4,13375,15927
2024-06-12T16:00:00.000Z,52488,333.1,382.7,17482,20088
2024-06-12T17:00:00.000Z,50215,390.4,444.2,19606,22305
2024-06-12T18:00:00.000Z,46270,436.4,493.1,20194,22817
2024-06-12T19:00:00.000Z,43630,470.3,528.1,20521,23042
2024-06-12T20:00:00.000Z,43601,477.8,536.6,20831,23397
2024-06-12T21:00:00.000Z,39814,489.4,546.2,19485,21746
2024-06-12T22:00:00.000Z,37758,501.1,556.4,18922,21008
2024-06-12T23:00:00.000Z,36338,504.7,559,18341,20313
2024-06-13T00:00:00.000Z,34804,514,568.2,17889,19777
2024-06-13T01:00:00.000Z,35069,507.9,561.8,17813,19701
2024-06-13T02:00:00.000Z,35216,508.6,562.7,17912,19816
2024-06-13T03:00:00.000Z,37350,505,561.3,18863,20965
2024-06-13T04:00:00.000Z,41992,470,527.9,19736,22169
2024-06-13T05:00:00.000Z,47198,427.1,487,20159,22985
2024-06-13T06:00:00.000Z,52151,365.3,423.7,19048,22099
2024-06-13T07:00:00.000Z,52581,278.3,332.1,14633,17462
2024-06-13T08:00:00.000Z,54910,208.5,260.5,11450,14305
2024-06-13T09:00:00.000Z,57745,187.3,238.4,10813,13764
2024-06-13T10:00:00.000Z,58846,179.9,230.2,10585,13549
2024-06-13T11:00:00.000Z,59179,177.4,227.3,10500,13450
2024-06-13T12:00:00.000Z,57927,180.9,230.7,10478,13361
2024-06-13T13:00:00.000Z,54930,193.8,244,10646,13404
2024-06-13T14:00:00.000Z,50983,225.5,276.8,11494,14111
2024-06-13T15:00:00.000Z,48972,308.9,362.1,15129,17735
2024-06-13T16:00:00.000Z,48228,400.4,459.5,19311,22163
2024-06-13T17:00:00.000Z,43885,471,534.9,20669,23474
2024-06-13T18:00:00.000Z,41878,515.8,581.8,21602,24365
2024-06-13T19:00:00.000Z,41165,528.2,593.1,21742,24414
2024-06-13T20:00:00.000Z,39864,520.5,581.6,20750,23183
2024-06-13T21:00:00.000Z,37322,496.5,550.8,18529,20555
2024-06-13T22:00:00.000Z,35938,452.7,501.5,16271,18023
2024-06-13T23:00:00.000Z,33082,392.2,436.6,12974,14443
2024-06-14T00:00:00.000Z,33212,364.6,406.2,12109,13491
2024-06-14T01:00:00.000Z,34102,346.6,387.2,11819,13205
2024-06-14T02:00:00.000Z,34760,348.2,388.4,12102,13499
2024-06-14T03:00:00.000Z,37109,354.5,395.3,13153,14671
2024-06-14T04:00:00.000Z,41593,349,392.6,14516,16331
2024-06-14T05:00:00.000Z,44811,342.5,389.1,15348,17437
2024-06-14T06:00:00.000Z,47605,329.8,378.2,15702,18003
2024-06-14T07:00:00.000Z,49078,303.8,352.2,14908,17283
2024-06-14T08:00:00.000Z,50762,263.3,310.1,13364,15742
2024-06-14T09:00:00.000Z,52736,207.4,252.7,10937,13327
2024-06-14T10:00:00.000Z,56075,171.7,215.8,9629,12100
2024-06-14T11:00:00.000Z,57352,166.2,209.7,9530,12024
2024-06-14T12:00:00.000Z,57173,178.7,221.9,10215,12689
2024-06-14T13:00:00.000Z,54743,196.1,239.4,10736,13104
2024-06-14T14:00:00.000Z,51622,219.9,263.1,11350,13581
2024-06-14T15:00:00.000Z,49257,264.6,308.8,13031,15211
2024-06-14T16:00:00.000Z,48039,307,354.7,14748,17037
2024-06-14T17:00:00.000Z,44625,338.6,389.4,15109,17377
2024-06-14T18:00:00.000Z,41824,384.6,436.7,16084,18264
2024-06-14T19:00:00.000Z,40852,389.6,440.2,15915,17984
2024-06-14T20:00:00.000Z,40675,370.8,418.6,15082,17027
2024-06-14T21:00:00.000Z,38648,328.2,372.1,12682,14380
2024-06-14T22:00:00.000Z,36375,280,320.2,10186,11648
2024-06-14T23:00:00.000Z,34580,234.4,274.4,8105,9490
2024-06-15T00:00:00.000Z,34581,221.6,261.1,7663,9029
2024-06-15T01:00:00.000Z,35123,206,244.2,7234,8578
2024-06-15T02:00:00.000Z,36472,201.1,238.7,7336,8707
2024-06-15T03:00:00.000Z,38470,188,224.6,7233,8639
2024-06-15T04:00:00.000Z,42576,169.2,204.7,7206,8717
2024-06-15T05:00:00.000Z,46552,150.7,185.4,7014,8633
2024-06-15T06:00:00.000Z,50644,136.9,171.8,6932,8699
2024-06-15T07:00:00.000Z,55346,131,168,7253,9298
2024-06-15T08:00:00.000Z,57266,119.7,158.6,6857,9084
2024-06-15T09:00:00.000Z,60918,111.3,151.8,6782,9246
2024-06-15T10:00:00.000Z,61949,107.9,150.1,6684,9299
2024-06-15T11:00:00.000Z,59534,110.7,155.4,6591,9250
2024-06-15T12:00:00.000Z,58437,112.8,158.3,6592,9248
2024-06-15T13:00:00.000Z,59479,110.1,154,6550,9160
2024-06-15T14:00:00.000Z,59313,110.3,152.3,6544,9034
2024-06-15T15:00:00.000Z,56612,121,161.5,6849,9141
2024-06-15T16:00:00.000Z,50816,141.3,181.1,7182,9204
2024-06-15T17:00:00.000Z,44842,181.1,222.4,8122,9971
2024-06-15T18:00:00.000Z,41240,238,283.6,9814,11697
2024-06-15T19:00:00.000Z,38962,268.6,316.5,10467,12332
2024-06-15T20:00:00.000Z,38822,271.2,317.9,10529,12343
2024-06-15T21:00:00.000Z,37074,245.3,290,9096,10750
2024-06-15T22:00:00.000Z,36120,235.4,278,8502,10042
2024-06-15T23:00:00.000Z,34560,223.2,264.6,7714,9143
2024-06-16T00:00:00.000Z,33754,214.7,254.2,7246,8580
