timestamp,generation_MWh,intensity_scope2,intensity_lc,emissions_scope2_t,emissions_lc_t
2024-06-16T01:00:00.000Z,33318,216.1,255.5,7201,8513
2024-06-16T02:00:00.000Z,32812,220.5,260,7234,8533
2024-06-16T03:00:00.000Z,33123,216.2,256.2,7161,8485
2024-06-16T04:00:00.000Z,34743,200.2,241.6,6956,8396
2024-06-16T05:00:00.000Z,38942,177.4,220.8,6908,8598
2024-06-16T06:00:00.000Z,44003,159.2,205.5,7004,9045
2024-06-16T07:00:00.000Z,50399,138.5,185.5,6983,9348
2024-06-16T08:00:00.000Z,55685,124.9,172.2,6954,9587
2024-06-16T09:00:00.000Z,59538,115.8,162.3,6896,9664
2024-06-16T10:00:00.000Z,60779,114.1,159.8,6935,9713
2024-06-16T11:00:00.000Z,59482,116.1,162.1,6907,9642
2024-06-16T12:00:00.000Z,57030,120.6,167.2,6879,9533
2024-06-16T13:00:00.000Z,53644,129,175.4,6919,9411
2024-06-16T14:00:00.000Z,49812,142.8,189.2,7111,9422
2024-06-16T15:00:00.000Z,45963,163.9,210,7534,9654
2024-06-16T16:00:00.000Z,41620,213.4,259.5,8881,10802
2024-06-16T17:00:00.000Z,38091,322.2,371.3,12274,14142
2024-06-16T18:00:00.000Z,36615,386.6,438.9,14156,16069
2024-06-16T19:00:00.000Z,35259,424.8,478.8,14977,16881
2024-06-16T20:00:00.000Z,35287,430.1,483.8,15177,17071
2024-06-16T21:00:00.000Z,33736,446.5,499.6,15062,16855
2024-06-16T22:00:00.000Z,31373,460.4,511.5,14444,16048
2024-06-16T23:00:00.000Z,30640,467.7,519.1,14331,15904
